decision,reaction ID,genes,spore,mother,name,reaction,reaction_with_names
,LAAL5,BSU37710,0,0,L amino acid ligase  Ala Ala ,2.0 ala__L_c + atp_c --> adp_c + diala__L_c + h_c + pi_c,2.0 L-Alanine + ATP C10H12N5O13P3 --> ADP C10H12N5O10P2 + Ala Ala C6H12N2O3 + H+ + Phosphate
,LAAL6,BSU37710,0,0,L amino acid ligase  Ser Ala ,ala__L_c + atp_c + ser__L_c --> adp_c + h_c + pi_c + ser_L_ala__L_c,L-Alanine + ATP C10H12N5O13P3 + L-Serine --> ADP C10H12N5O10P2 + H+ + Phosphate + Ser Ala C6H12N2O4
,LAAL7,BSU37710,0,0,L amino acid ligase  Ala Ser ,ala__L_c + atp_c + ser__L_c --> adp_c + ala_L_ser__L_c + h_c + pi_c,L-Alanine + ATP C10H12N5O13P3 + L-Serine --> ADP C10H12N5O10P2 + Ala Ser C6H12N2O4 + H+ + Phosphate
,LAAL8,BSU37710,0,0,L amino acid ligase  Ser Ser ,atp_c + 2.0 ser__L_c --> adp_c + h_c + pi_c + ser_L_ser__L_c,ATP C10H12N5O13P3 + 2.0 L-Serine --> ADP C10H12N5O10P2 + H+ + Phosphate + Ser Ser C6H12N2O5
,LAAL9,BSU37710,0,0,L amino acid ligase  Gly Cys ,atp_c + cys__L_c + gly_c --> adp_c + gly_cys__L_c + h_c + pi_c,ATP C10H12N5O13P3 + L-Cysteine + Glycine --> ADP C10H12N5O10P2 + Gly Cys C5H10N2O3S + H+ + Phosphate
,LACZ,BSU34130,0,0,B-galactosidase,h2o_c + lcts_c --> gal_c + glc__D_c,H2O H2O + Lactose C12H22O11 --> D-Galactose + D-Glucose
,LANTHabc,,0,0,Lanthionine transport via ABC system,atp_c + h2o_c + lanth_e --> adp_c + h_c + lanth_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + Lanthionine C6H12N2O4S --> ADP C10H12N5O10P2 + H+ + Lanthionine C6H12N2O4S + Phosphate
,LCADi,BSU39860 or BSU38830 or BSU19310,0,0,Lactaldehyde dehydrogenase,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,H2O H2O + L-Lactaldehyde + Nicotinamide adenine dinucleotide --> 2.0 H+ + L-Lactate + Nicotinamide adenine dinucleotide - reduced
,LCTSabc,BSU06970 and BSU06980 and BSU06990,0,0,Lactose transport via ABC system (import),atp_c + h2o_c + lcts_e --> adp_c + h_c + lcts_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + Lactose C12H22O11 --> ADP C10H12N5O10P2 + H+ + Lactose C12H22O11 + Phosphate
,LCYSTabc,BSU08840 and BSU08830 and BSU08850,0,0,Cysteate transport via ABC system,Lcyst_e + atp_c + h2o_c --> Lcyst_c + adp_c + h_c + pi_c,L-Cysteate + ATP C10H12N5O13P3 + H2O H2O --> L-Cysteate + ADP C10H12N5O10P2 + H+ + Phosphate
,LDH2,BSU03050,0,0,L lactate dehydrogenase  2 Hydroxybutanoic acid ,2hbut_c + nad_c <=> 2obut_c + h_c + nadh_c,2 Hydroxybutyrate C4H7O3 + Nicotinamide adenine dinucleotide <=> 2-Oxobutanoate + H+ + Nicotinamide adenine dinucleotide - reduced
,LIPTabc,,0,0,Lipoic acid transport via ABC system,atp_c + h2o_c + lipt_e --> adp_c + h_c + lipt_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + Lipoate C8H13O2S2 --> ADP C10H12N5O10P2 + H+ + Lipoate C8H13O2S2 + Phosphate
,LYSAM,BSU19690,0,0,"Lysine 2,3-aminomutase",lys__L_c <=> 36dahx_c,"L-Lysine <=> (3S)-3,6-Diaminohexanoate"
,LYSDC,BSU00270,0,0,Lysine decarboxylase,h_c + lys__L_c --> 15dap_c + co2_c,"H+ + L-Lysine --> 1,5-Diaminopentane + CO2 CO2"
,M1PD,BSU03990,0,0,Mannitol-1-phosphate 5-dehydrogenase,mnl1p_c + nad_c <=> f6p_c + h_c + nadh_c,D-Mannitol 1-phosphate + Nicotinamide adenine dinucleotide <=> D-Fructose 6-phosphate + H+ + Nicotinamide adenine dinucleotide - reduced
,MACCOAT,BSU32830,0,0,2-Methylacetyl-CoA thiolase,2maacoa_c + coa_c <=> accoa_c + ppcoa_c,2-Methyl-3-acetoacetyl-CoA + Coenzyme A <=> Acetyl-CoA + Propanoyl-CoA
,MAL_Dt2,,0,0,D malate transport in via proton symport,h_e + mal__D_e --> h_c + mal__D_c,H+ + D-Malate --> H+ + D-Malate
,MAL6PG,BSU08180,0,0,Maltose 6  phosphate glucosidase,h2o_c + malt6p_c --> g6p_c + glc__D_c,H2O H2O + Maltose 6'-phosphate --> D-Glucose 6-phosphate + D-Glucose
,MALDDH,BSU04000,0,0,Malate decarboxylating oxidoreductase (decarboxylating),mal__D_c + nad_c --> co2_c + nadh_c + pyr_c,D-Malate + Nicotinamide adenine dinucleotide --> CO2 CO2 + Nicotinamide adenine dinucleotide - reduced + Pyruvate
,MALT,BSU34560,0,0,Alpha glucosidase,h2o_c + malt_c --> 2.0 glc__D_c,H2O H2O + Maltose C12H22O11 --> 2.0 D-Glucose
,MALt2r,BSU04470 or BSU38770 or BSU07570,0,0,L malate reversible transport via proton symport,h_e + mal__L_e --> h_c + mal__L_c,H+ + L-Malate --> H+ + L-Malate
,MALt4,BSU31580,0,0,Namalate symporter,mal__L_e + na1_e --> mal__L_c + na1_c,L-Malate + Sodium --> L-Malate + Sodium
,MALTabc,(BSU34610 and BSU34600 and BSU34590) or (BSU34160 and BSU34150 and BSU34140) or (BSU30290 and BSU30280 and BSU30270),0,0,Maltose transport via ABC system,atp_c + h2o_c + malt_e --> adp_c + h_c + malt_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + Maltose C12H22O11 --> ADP C10H12N5O10P2 + H+ + Maltose C12H22O11 + Phosphate
,MALTATr,BSU40850,0,0,Maltose O-acetyltransferase,accoa_c + malt_c --> acmalt_c + coa_c,Acetyl-CoA + Maltose C12H22O11 --> Acetyl-maltose + Coenzyme A
,MALTpts,BSU08200 and BSU13900 and BSU13910,0,0,Maltose transport via PEP:Pyr PTS,malt_e + pep_c --> malt6p_c + pyr_c,Maltose C12H22O11 + Phosphoenolpyruvate --> Maltose 6'-phosphate + Pyruvate
,MALTTRabc,,0,0,Maltotriose transport via ABC system,atp_c + h2o_c + malttr_e --> adp_c + h_c + malttr_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + Maltotriose C18H32O16 --> ADP C10H12N5O10P2 + H+ + Maltotriose C18H32O16 + Phosphate
,MAN1Pt6,,0,0,MAN1P transport inout via proton symport,h_e + man1p_e <=> h_c + man1p_c,H+ + D-Mannose 1-phosphate <=> H+ + D-Mannose 1-phosphate
,MANAO,,0,0,Mannonate oxidoreductase,mana_c + nad_c <=> fruur_c + h_c + nadh_c,D-Mannonate + Nicotinamide adenine dinucleotide <=> D-Fructuronate + H+ + Nicotinamide adenine dinucleotide - reduced
,MANpts,BSU12010 and BSU13900 and BSU13910,0,0,D-mannose transport via PEP:Pyr PTS,man_e + pep_c --> man6p_c + pyr_c,D-Mannose + Phosphoenolpyruvate --> D-Mannose 6-phosphate + Pyruvate
,MANt2,BSU10520,0,0,D mannose transport in via proton symport,h_e + man_e --> h_c + man_c,H+ + D-Mannose --> H+ + D-Mannose
,MCA,BSU24130,0,0,Methyl cis aconitase,2mcit_c <=> micit_c,2-Methylcitrate <=> Methylisocitrate
,MCITL2,BSU24120,0,0,Methylisocitrate lyase,micit_c <=> pyr_c + succ_c,Methylisocitrate <=> Pyruvate + Succinate
,MCITS,BSU24140,0,0,2-methylcitrate synthase,h2o_c + oaa_c + ppcoa_c --> 2mcit_c + coa_c + h_c,H2O H2O + Oxaloacetate + Propanoyl-CoA --> 2-Methylcitrate + Coenzyme A + H+
,MDRPD,BSU13610,0,0,5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,5mdru1p_c --> dkmpp_c + h2o_c,"5-Methylthio-5-deoxy-D-ribulose 1-phosphate --> 2,3-diketo-5-methylthio-1-phosphopentane + H2O H2O"
,ME2,BSU29220,0,0,Malic enzyme (NADP),mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,L-Malate + Nicotinamide adenine dinucleotide phosphate --> CO2 CO2 + Nicotinamide adenine dinucleotide phosphate - reduced + Pyruvate
,MECDPDH2,BSU25070,0,0,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",2mecdp_c + nadh_c --> h2mb4p_c + h2o_c + nad_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate + Nicotinamide adenine dinucleotide - reduced --> 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate + H2O H2O + Nicotinamide adenine dinucleotide"
,MECDPS,BSU00910,0,0,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2p4c2me_c --> 2mecdp_c + cmp_c,"2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol --> 2-C-methyl-D-erythritol 2,4-cyclodiphosphate + CMP C9H12N3O8P"
,MELIBt2,,0,0,Melibiose transport in via symport,h_e + melib_e --> h_c + melib_c,H+ + Melibiose C12H22O11 --> H+ + Melibiose C12H22O11
,MEPCT,BSU00900,0,0,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,2-C-methyl-D-erythritol 4-phosphate + CTP C9H12N3O14P3 + H+ --> 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + Diphosphate
,METAT,BSU30550,0,0,Methionine adenosyltransferase,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,ATP C10H12N5O13P3 + H2O H2O + L-Methionine --> S-Adenosyl-L-methionine + Phosphate + Diphosphate
,METDabc,(BSU29380 and BSU29370 and BSU29360 and BSU29350 and BSU29340) or (BSU32730 and BSU32740 and BSU32750),0,0,D-methionine transport via ABC system,atp_c + h2o_c + met__D_e --> adp_c + h_c + met__D_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + D-Methionine --> ADP C10H12N5O10P2 + H+ + D-Methionine + Phosphate
,METSabc,(BSU32730 and BSU32740 and BSU32750) or (BSU29380 and BSU29370 and BSU29360 and BSU29350 and BSU29340),0,0,L methionine S oxide transport via ABC system,atp_c + h2o_c + metox_e --> adp_c + h_c + metox_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + L Methionine S oxide C5H11NO3S --> ADP C10H12N5O10P2 + H+ + L Methionine S oxide C5H11NO3S + Phosphate
,METSR_R1,BSU21680,0,0,L methionine R oxide reductase  trdrd ,BSU28500-MONOMER + metox__R_c --> BSU28500-MONOMER_mod_Oxidized + h2o_c + met__L_c,Reduced thioredoxin + L methionine R oxide C5H11NO3S --> Oxidized thioredoxin + H2O H2O + L-Methionine
,METSR_R2,BSU21680,0,0,L methionine R oxide  H2O2 ,h2o2_c + met__L_c --> h2o_c + metox__R_c,Hydrogen peroxide + L-Methionine --> H2O H2O + L methionine R oxide C5H11NO3S
,METSR_S1,BSU21690,0,0,L methionine S oxide reductase  trdrd ,BSU28500-MONOMER + metox_c --> BSU28500-MONOMER_mod_Oxidized + h2o_c + met__L_c,Reduced thioredoxin + L Methionine S oxide C5H11NO3S --> Oxidized thioredoxin + H2O H2O + L-Methionine
,METSR_S2,BSU21690,0,0,L methionine S oxide reductase  H2O2 ,h2o2_c + met__L_c --> h2o_c + metox_c,Hydrogen peroxide + L-Methionine --> H2O H2O + L Methionine S oxide C5H11NO3S
,METSRabc,(BSU32730 and BSU32740 and BSU32750) or (BSU29380 and BSU29370 and BSU29360 and BSU29350 and BSU29340),0,0,L methionine R oxide transport via ABC system,atp_c + h2o_c + metox__R_e --> adp_c + h_c + metox__R_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + L methionine R oxide C5H11NO3S --> ADP C10H12N5O10P2 + H+ + L methionine R oxide C5H11NO3S + Phosphate
,METt3,,0,0,L methionine transport out via proton antiport,h_e + met__L_c --> h_c + met__L_e,H+ + L-Methionine --> H+ + L-Methionine
,MGSA,BSU22480,0,0,Methylglyoxal synthase,dhap_c --> mthgxl_c + pi_c,Dihydroxyacetone phosphate --> Methylglyoxal + Phosphate
,MI1PP,BSU14670,0,0,Myo-inositol 1-phosphatase,h2o_c + mi1p__D_c --> inost_c + pi_c,H2O H2O + 1D-myo-Inositol 1-phosphate --> Myo-Inositol + Phosphate
,MLTG1,BSU34560,0,0,Maltodextrin glucosidase (maltotriose),h2o_c + malttr_c --> glc__D_c + malt_c,H2O H2O + Maltotriose C18H32O16 --> D-Glucose + Maltose C12H22O11
,MLTG2,BSU34560,0,0,Maltodextrin glucosidase (maltotetraose),h2o_c + maltttr_c --> glc__D_c + malttr_c,H2O H2O + Maltotetraose --> D-Glucose + Maltotriose C18H32O16
,MLTG3,BSU34560,0,0,Maltodextrin glucosidase (maltopentaose),h2o_c + maltpt_c --> glc__D_c + maltttr_c,H2O H2O + Maltopentaose --> D-Glucose + Maltotetraose
,MLTG4,BSU34560,0,0,Maltodextrin glucosidase (maltohexaose),h2o_c + malthx_c --> glc__D_c + maltpt_c,H2O H2O + Maltohexaose --> D-Glucose + Maltopentaose
,MLTG5,BSU34560,0,0,Maltodextrin glucosidase (maltoheptaose),h2o_c + malthp_c --> glc__D_c + malthx_c,H2O H2O + Maltoheptaose --> D-Glucose + Maltohexaose
,MLTG6,BSU34560,0,0,Maltodextrin glucosidase  dextrin ,dextrin_c + 2.0 h2o_c --> 2.0 glc__D_c,Dextrin C12H20O10 + 2.0 H2O H2O --> 2.0 D-Glucose
,MLTG7,BSU34560,0,0,Maltodextrin glucosidase  isomaltose ,h2o_c + isomal_c --> 2.0 glc__D_c,H2O H2O + Isomaltose C12H22O11 --> 2.0 D-Glucose
,MMSAD1,BSU39760,0,0,Methylmalonate semialdehyde dehydrogenase,2mop_c + coa_c + nad_c --> co2_c + nadh_c + ppcoa_c,2-Methyl-3-oxopropanoate + Coenzyme A + Nicotinamide adenine dinucleotide --> CO2 CO2 + Nicotinamide adenine dinucleotide - reduced + Propanoyl-CoA
,MMSAD2,BSU39760,0,0,Methylmalonate-semialdehyde dehydrogenase (propanol),coa_c + nad_c + ppal_c --> h_c + nadh_c + ppcoa_c,Coenzyme A + Nicotinamide adenine dinucleotide + Propanal --> H+ + Nicotinamide adenine dinucleotide - reduced + Propanoyl-CoA
,MMSAD3,BSU39760,0,0,Methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde),coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c,Coenzyme A + Malonate semialdehyde + Nicotinamide adenine dinucleotide --> Acetyl-CoA + CO2 CO2 + Nicotinamide adenine dinucleotide - reduced
,MMSDHir,BSU39760,0,0,Methylmalonate semialdehyde dehydrogenase  acylating ,coa_c + mmalsa__S_c + nad_c --> co2_c + nadh_c + ppcoa_c,Coenzyme A +  S  Methylmalonate semialdehyde C4H5O3 + Nicotinamide adenine dinucleotide --> CO2 CO2 + Nicotinamide adenine dinucleotide - reduced + Propanoyl-CoA
,MNabc,BSU30770 and BSU30760 and BSU30750 and BSU30740,0,0,Manganese transport via ABC system,atp_c + h2o_c + mn2_e --> adp_c + h_c + mn2_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + Manganese --> ADP C10H12N5O10P2 + H+ + Manganese + Phosphate
,MNLpts,BSU03981 and BSU13900 and BSU13910,0,0,Mannitol transport via PEP:Pyr PTS,mnl_e + pep_c --> mnl1p_c + pyr_c,D-Mannitol + Phosphoenolpyruvate --> D-Mannitol 1-phosphate + Pyruvate
,MNNH,BSU12340,0,0,D-mannonate hydrolyase,mana_c --> 2ddglcn_c + h2o_c,D-Mannonate --> 2-Dehydro-3-deoxy-D-gluconate + H2O H2O
,MNt2,BSU04360,0,0,Manganese transport in via proton symport,h_e + mn2_e --> h_c + mn2_c,H+ + Manganese --> H+ + Manganese
,MOBDabc,BSU33370 and BSU33380 and BSU33390,0,0,Molybdate transport via ABC system,atp_c + h2o_c + mobd_e --> adp_c + h_c + mobd_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + Molybdate --> ADP C10H12N5O10P2 + H+ + Molybdate + Phosphate
,MOHMT,BSU22430,0,6.09E-19,3-methyl-2-oxobutanoate hydroxymethyltransferase,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,"3-Methyl-2-oxobutanoate + H2O H2O + 5,10-Methylenetetrahydrofolate --> 2-Dehydropantoate + 5,6,7,8-Tetrahydrofolate"
,MOPSabc,BSU08840 and BSU08830 and BSU08850,0,0,MOPS transport via ABC system,atp_c + h2o_c + mops_e --> adp_c + h_c + mops_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + MOPS C7H14NO4S --> ADP C10H12N5O10P2 + H+ + MOPS C7H14NO4S + Phosphate
,MPL,BSU34570,0,0,Maltose phosphorylase,malt_c + pi_c --> g1p_B_c + glc__D_c,Maltose C12H22O11 + Phosphate --> Beta D Glucose 1 phosphate C6H11O9P + D-Glucose
,MSO3abc,BSU08840 and BSU08830 and BSU08850,0,0,Methanesulfonate transport via ABC system,atp_c + h2o_c + mso3_e --> adp_c + h_c + mso3_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + Methanesulfonate --> ADP C10H12N5O10P2 + H+ + Methanesulfonate + Phosphate
,MTAN,BSU27270,0,0,Methylthioadenosine nucleosidase,5mta_c + h2o_c --> 5mtr_c + ade_c,5-Methylthioadenosine + H2O H2O --> 5-Methylthio-D-ribose + Adenine
,MTRI,BSU13550,0,0,5-methylthioribose-1-phosphate isomerase,5mdr1p_c <=> 5mdru1p_c,5-Methylthio-5-deoxy-D-ribose 1-phosphate <=> 5-Methylthio-5-deoxy-D-ribulose 1-phosphate
,MTRK,BSU13560,0,0,5-methylthioribose kinase,5mtr_c + atp_c --> 5mdr1p_c + adp_c + h_c,5-Methylthio-D-ribose + ATP C10H12N5O13P3 --> 5-Methylthio-5-deoxy-D-ribose 1-phosphate + ADP C10H12N5O10P2 + H+
,NAabcO,BSU02750 and BSU02760,0,0,Sodium transport out via ABC system,atp_c + h2o_c + na1_c --> adp_c + h_c + na1_e + pi_c,ATP C10H12N5O13P3 + H2O H2O + Sodium --> ADP C10H12N5O10P2 + H+ + Sodium + Phosphate
,NADK,BSU11610,0,0,NAD kinase,atp_c + nad_c --> adp_c + h_c + nadp_c,ATP C10H12N5O13P3 + Nicotinamide adenine dinucleotide --> ADP C10H12N5O10P2 + H+ + Nicotinamide adenine dinucleotide phosphate
,NADK1,BSU11610,0,0,NAD kinase  GTP ,gtp_c + nad_c --> gdp_c + h_c + nadp_c,GTP C10H12N5O14P3 + Nicotinamide adenine dinucleotide --> GDP C10H12N5O11P2 + H+ + Nicotinamide adenine dinucleotide phosphate
,NADK2,BSU11610,0,0,NAD kinase  dATP ,datp_c + nad_c --> dadp_c + h_c + nadp_c,DATP C10H12N5O12P3 + Nicotinamide adenine dinucleotide --> DADP C10H12N5O9P2 + H+ + Nicotinamide adenine dinucleotide phosphate
,NADK3,BSU11610,0,0,NAD kinase  dGTP ,dgtp_c + nad_c --> dgdp_c + h_c + nadp_c,DGTP C10H12N5O13P3 + Nicotinamide adenine dinucleotide --> DGDP C10H12N5O10P2 + H+ + Nicotinamide adenine dinucleotide phosphate
,NADK4,BSU11610,0,0,NAD kinase  dCTP ,dctp_c + nad_c --> dcdp_c + h_c + nadp_c,DCTP C9H12N3O13P3 + Nicotinamide adenine dinucleotide --> DCDP C9H12N3O10P2 + H+ + Nicotinamide adenine dinucleotide phosphate
,NADK5,BSU11610,0,0,NAD kinase  dTTP ,dttp_c + nad_c --> dtdp_c + h_c + nadp_c,DTTP C10H13N2O14P3 + Nicotinamide adenine dinucleotide --> DTDP C10H13N2O11P2 + H+ + Nicotinamide adenine dinucleotide phosphate
,NAt3_1,BSU31600 and BSU31610 and BSU31620 and BSU31630 and BSU31640 and BSU31650 and BSU31660 or BSU09680 or BSU33420 or BSU11640 or BSU09850,0,0,Sodium proton antiporter  HNA is 11 ,h_e + na1_c --> h_c + na1_e,H+ + Sodium --> H+ + Sodium
,NMNAT,BSU25640,0,0,Nicotinamide-nucleotide adenylyltransferase,atp_c + h_c + nmn_c <=> nad_c + ppi_c,ATP C10H12N5O13P3 + H+ + NMN C11H14N2O8P <=> Nicotinamide adenine dinucleotide + Diphosphate
,NMNHYD,,0,0,Nicotinamide ribonucleotide phosphohydrolase,h2o_c + nmn_c <=> pi_c + rnam_c,H2O H2O + NMN C11H14N2O8P <=> Phosphate + N Ribosylnicotinamide C11H15N2O5
,NNAM,BSU31760,0,0,Nicotinamidase,h2o_c + ncam_c --> nac_c + nh4_c,H2O H2O + Nicotinamide --> Nicotinate + Ammonium
,NNDPR,BSU27860,0,3.25E-08,Nicotinate-nucleotide diphosphorylase (carboxylating),2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c,2.0 H+ + 5-Phospho-alpha-D-ribose 1-diphosphate + Quinolinate --> CO2 CO2 + Nicotinate D-ribonucleotide + Diphosphate
,NO2t2r,BSU38060,0,0,"Nitrite transport in via proton symport, reversible",h_e + no2_e --> h_c + no2_c,H+ + Nitrite --> H+ + Nitrite
,NO2t3,BSU37320 or BSU38060,0,0,Nitrite transport out via proton antiport,h_e + no2_c --> h_c + no2_e,H+ + Nitrite --> H+ + Nitrite
,NO3t2,BSU03330,0,0,Nitrate transport in via proton symport,h_e + no3_e --> h_c + no3_c,H+ + Nitrate --> H+ + Nitrate
,NPHS,BSU30800,0,0,Naphthoate synthase,sbzcoa_c --> coa_c + dhna_c,"O-Succinylbenzoyl-CoA --> Coenzyme A + 1,4-Dihydroxy-2-naphthoate"
,NTD1,BSU07840,0,0,5'-nucleotidase (dUMP),dump_c + h2o_c --> duri_c + pi_c,DUMP C9H11N2O8P + H2O H2O --> Deoxyuridine + Phosphate
,NTD10,BSU07840,0,0,5'-nucleotidase (XMP),h2o_c + xmp_c --> pi_c + xtsn_c,H2O H2O + Xanthosine 5'-phosphate --> Phosphate + Xanthosine
,NTD3,BSU07840,0,0,5'-nucleotidase (dCMP),dcmp_c + h2o_c --> dcyt_c + pi_c,DCMP C9H12N3O7P + H2O H2O --> Deoxycytidine + Phosphate
,NTD4,BSU07840,0,0,5'-nucleotidase (CMP),cmp_c + h2o_c --> cytd_c + pi_c,CMP C9H12N3O8P + H2O H2O --> Cytidine + Phosphate
,NTD5,BSU07840,0,5.10E-06,5'-nucleotidase (dTMP),dtmp_c + h2o_c --> pi_c + thymd_c,DTMP C10H13N2O8P + H2O H2O --> Phosphate + Thymidine C10H14N2O5
,NTD6,BSU07840,0,0,5'-nucleotidase (dAMP),damp_c + h2o_c --> dad_2_c + pi_c,DAMP C10H12N5O6P + H2O H2O --> Deoxyadenosine + Phosphate
,NTD7,BSU07840,0,0,5'-nucleotidase (AMP),amp_c + h2o_c --> adn_c + pi_c,AMP C10H12N5O7P + H2O H2O --> Adenosine + Phosphate
,NTD8,BSU07840,0,0,5'-nucleotidase (dGMP),dgmp_c + h2o_c --> dgsn_c + pi_c,DGMP C10H12N5O7P + H2O H2O --> Deoxyguanosine + Phosphate
,NTD9,BSU07840,0,0,5'-nucleotidase (GMP),gmp_c + h2o_c --> gsn_c + pi_c,GMP C10H12N5O8P + H2O H2O --> Guanosine + Phosphate
,NTR3B,(BSU03320 and BSU03310) or (BSU37280 and BSU37270 and BSU37260),0,0,Nitrate reductase,2.0 h_c + mql7_c + no3_c --> h2o_c + 2.0 h_e + mqn7_c + no2_c,2.0 H+ + Menaquinol 7 C46H66O2 + Nitrate --> H2O H2O + 2.0 H+ + Menaquinone 7 C46H64O2 + Nitrite
,NTRIR2x,BSU03300 and BSU03290,0,0,Nitrite Reductase (NADH),5.0 h_c + 3.0 nadh_c + no2_c --> 2.0 h2o_c + 3.0 nad_c + nh4_c,5.0 H+ + 3.0 Nicotinamide adenine dinucleotide - reduced + Nitrite --> 2.0 H2O H2O + 3.0 Nicotinamide adenine dinucleotide + Ammonium
,OCOAT1,BSU38990 and BSU38980,0,0,3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate),acac_c + succoa_c <=> aacoa_c + succ_c,Acetoacetate + Succinyl-CoA <=> Acetoacetyl-CoA + Succinate
,OMCDC,,0,0.020810599,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,3c4mop_c + h_c --> 4mop_c + co2_c,3-Carboxy-4-methyl-2-oxopentanoate + H+ --> 4-Methyl-2-oxopentanoate + CO2 CO2
,ORNt2,BSU33330,0,0,Ornithine transport in via proton symport,h_e + orn__L_e --> h_c + orn__L_c,H+ + L Ornithine C5H13N2O2 --> H+ + L Ornithine C5H13N2O2
,ORNTA_1,BSU40340,0,0,Ornithine transaminase,akg_c + orn__L_c --> glu5sa_c + glu__L_c,2-Oxoglutarate + L Ornithine C5H13N2O2 --> L-Glutamate 5-semialdehyde + L-Glutamate
,OXGDC,BSU30820,0,0,2 oxoglutarate decarboxylase,akg_c + h_c --> co2_c + sucsal_c,2-Oxoglutarate + H+ --> CO2 CO2 + Succinic semialdehyde
,P5CD,BSU37780,0,0,1-pyrroline-5-carboxylate dehydrogenase,1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c,1-Pyrroline-5-carboxylate + 2.0 H2O H2O + Nicotinamide adenine dinucleotide --> L-Glutamate + H+ + Nicotinamide adenine dinucleotide - reduced
,PALAt2,,0,0,Palatinose transport in via proton symport,h_e + pala_e --> h_c + pala_c,H+ + Palatinose C12H22O11 --> H+ + Palatinose C12H22O11
,PANTS,BSU22420,0,6.09E-19,Pantothenate synthase,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,Beta-Alanine + ATP C10H12N5O13P3 + (R)-Pantoate --> AMP C10H12N5O7P + H+ + (R)-Pantothenate + Diphosphate
,PBUTT,BSU24090 or BSU37660,0,0,Phosphate butyryltransferase,btcoa_c + pi_c <=> butpi_c + coa_c,Butanoyl-CoA + Phosphate <=> Butanoyl phosphate + Coenzyme A
,PC,BSU14860,0,0,Pyruvate carboxylase,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,ATP C10H12N5O13P3 + Bicarbonate + Pyruvate --> ADP C10H12N5O10P2 + H+ + Oxaloacetate + Phosphate
,PENCAC,BSU39540,0,0,Penicillin acylase,h2o_c + h_c + pencil_c --> 6ampenc_c + for_c,H2O H2O + H+ + Penicillin C9H11N2O4S --> 6 Aminopenicillanate C8H13N2O3S + Formate
,PEPt6,,0,0,Phosphoenolpyruvate transport in via proton symport,h_e + pep_e <=> h_c + pep_c,H+ + Phosphoenolpyruvate <=> H+ + Phosphoenolpyruvate
,PFK,BSU29190,0,0,Phosphofructokinase,atp_c + f6p_c --> adp_c + fdp_c + h_c,"ATP C10H12N5O13P3 + D-Fructose 6-phosphate --> ADP C10H12N5O10P2 + D-Fructose 1,6-bisphosphate + H+"
,PFK_2,BSU29190,0,0,Phosphofructokinase,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,"ATP C10H12N5O13P3 + D-Tagatose 6-phosphate --> ADP C10H12N5O10P2 + H+ + D-Tagatose 1,6-biphosphate"
,PGL,BSU13010,0,0,6-phosphogluconolactonase,6pgl_c + h2o_c --> 6pgc_c + h_c,"6-phospho-D-glucono-1,5-lactone + H2O H2O --> 6-Phospho-D-gluconate + H+"
,PGLYCP,BSU09240,0,0,Phosphoglycolate phosphatase,2pglyc_c + h2o_c --> glyclt_c + pi_c,2-Phosphoglycolate + H2O H2O --> Glycolate C2H3O3 + Phosphate
,PGMT_B,BSU34550,0,0,B phosphoglucomutase,g6p_B_c <=> g1p_B_c,Beta D glucose 6 phosphate C6H11O9P <=> Beta D Glucose 1 phosphate C6H11O9P
